,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2011-01-03,432.2937622070313,0.8925,0.069,0.797,0.135,430.5,433.7124938964844,428.4624938964844,5048544.0
2011-01-04,435.1812438964844,0.7959,0.02,0.896,0.084,432.125,437.375,432.125,8119288.0
2011-01-05,432.4500122070313,0.7096,0.0,0.921,0.079,433.125,434.625,430.6375122070313,3523160.0
2011-01-06,434.7687377929688,0.9937,0.035,0.699,0.266,435.0,436.625,430.5125122070313,4691840.0
2011-01-07,421.34375,0.993,0.0,0.604,0.396,432.9187622070313,436.875,419.5437622070313,8550928.0
2011-01-10,424.46875,0.938,0.019,0.878,0.102,421.875,430.3937377929688,419.0,10390408.0
2011-01-11,415.7124938964844,0.6808,0.027,0.918,0.055,417.5,427.9249877929688,411.0125122070313,12319416.0
2011-01-12,422.1625061035156,0.994,0.017,0.798,0.185,418.75,423.75,414.7749938964844,10035400.0
2011-01-13,400.6499938964844,0.9992,0.043,0.865,0.093,411.625,412.375,399.375,22352872.0
2011-01-14,400.5375061035156,0.8981,0.079,0.802,0.119,398.2687377929688,409.7374877929688,398.125,10321640.0
2011-01-17,408.6000061035156,0.8374,0.058,0.839,0.104,400.0,410.2124938964844,398.90625,8218616.0
2011-01-18,415.375,-0.3736,0.069,0.893,0.038,406.25,416.9624938964844,406.25,9797168.0
2011-01-19,406.2000122070313,0.8875,0.054,0.815,0.13,413.3937377929688,414.25,404.4750061035156,6935088.0
2011-01-20,411.9874877929688,0.9295,0.0,0.839,0.161,404.0,413.4249877929688,402.2625122070313,7231848.0
2011-01-21,405.4812622070313,0.2023,0.046,0.903,0.051,408.875,409.75,403.875,4626824.0
2011-01-24,410.5812377929688,0.891,0.0,0.867,0.133,405.0,411.25,403.4125061035156,7501360.0
2011-01-25,407.4562377929688,0.9618,0.0,0.874,0.126,408.125,413.1062622070313,404.5062561035156,9925912.0
2011-01-27,399.6124877929688,0.8948,0.022,0.899,0.079,408.625,408.625,398.1875,12710648.0
2011-01-28,396.0187377929688,-0.6229,0.105,0.825,0.07,400.7250061035156,408.5687561035156,392.5812377929688,12684296.0
2011-01-31,389.7124938964844,0.7568,0.0,0.924,0.076,392.3125,392.3125,385.7749938964844,7749368.0
2011-02-01,386.1499938964844,0.787,0.038,0.868,0.094,390.7875061035156,391.0499877929688,380.3875122070313,10301688.0
2011-02-02,386.15625,0.9117,0.0,0.948,0.052,389.125,395.5,383.125,9174728.0
2011-02-03,389.7000122070313,-0.1179,0.093,0.842,0.065,387.6749877929688,394.125,385.7749938964844,6049408.0
2011-02-04,380.9874877929688,0.3182,0.055,0.872,0.073,387.375,390.4624938964844,378.2999877929688,6959880.0
2011-02-07,385.9312438964844,-0.296,0.027,0.973,0.0,384.3624877929688,389.2374877929688,382.625,7341128.0
2011-02-08,387.0750122070313,0.8402,0.03,0.903,0.067,387.5,390.0,384.0,6023992.0
2011-02-09,391.3374938964844,0.8882,0.027,0.808,0.165,385.625,394.9624938964844,383.4874877929688,7504144.0
2011-02-10,381.6499938964844,0.7159,0.044,0.88,0.076,388.2062377929688,389.25,380.125,8252152.0
2011-02-11,380.1062622070313,0.787,0.025,0.872,0.103,378.7749938964844,383.5874938964844,377.5437622070313,11214152.0
2011-02-14,388.0687561035156,0.7835,0.0,0.875,0.125,380.5,389.7875061035156,380.0625,6979048.0
2011-02-15,388.3187561035156,0.885,0.018,0.834,0.148,387.5,391.125,384.2687377929688,4599952.0
2011-02-16,387.875,0.3182,0.0,0.972,0.028,385.28125,390.4624938964844,385.1375122070313,2920384.0
2011-02-17,389.1687622070313,0.743,0.0,0.907,0.093,389.8125,391.0,387.7749938964844,3392984.0
2011-02-18,387.5375061035156,-0.9282,0.138,0.839,0.023,390.625,393.125,386.1375122070313,7102304.0
2011-02-21,395.65625,0.3254,0.116,0.755,0.129,387.5,397.2250061035156,384.5,9398952.0
2011-02-22,392.7312622070313,0.802,0.0,0.891,0.109,392.5249938964844,395.875,389.25,6085648.0
2011-02-23,384.8500061035156,0.9349,0.0,0.904,0.096,388.2374877929688,388.2374877929688,383.7562561035156,7076384.0
2011-02-24,376.1000061035156,0.5845,0.01,0.943,0.046,381.25,385.0,374.375,16486520.0
2011-02-25,375.9125061035156,-0.68,0.079,0.909,0.013,377.8999938964844,380.3312377929688,370.75,10366720.0
2011-02-28,374.6375122070313,0.2624,0.044,0.897,0.059,377.75,391.8500061035156,370.9249877929688,14514472.0
2011-03-01,385.2999877929688,0.7101,0.053,0.852,0.095,378.75,388.5,376.0,8377632.0
2011-03-03,378.2625122070313,0.8708,0.044,0.844,0.113,382.2625122070313,382.375,375.125,12571856.0
2011-03-04,382.7749938964844,0.6946,0.0,0.96,0.04,383.375,386.25,381.0,9770912.0
2011-03-07,380.3374938964844,0.9538,0.012,0.842,0.147,379.5,384.375,378.1875,7357728.0
2011-03-08,389.5375061035156,0.8997,0.062,0.817,0.121,378.78125,391.5,377.5249938964844,8514512.0
2011-03-09,386.9375,0.2023,0.09,0.822,0.088,390.0,391.6000061035156,383.875,6676440.0
2011-03-10,386.28125,0.9627,0.0,0.889,0.111,386.875,387.5,382.8125,3438200.0
2011-03-11,381.7374877929688,0.9039,0.018,0.896,0.086,383.5,384.875,380.625,7278272.0
2011-03-14,387.6000061035156,0.8574,0.0,0.94,0.06,379.375,388.5,378.8312377929688,3557952.0
2011-03-15,378.7687377929688,0.5158,0.012,0.946,0.042,379.0,382.3624877929688,375.75,9037824.0
2011-03-16,378.8624877929688,0.4299,0.063,0.824,0.113,378.125,382.6812438964844,377.5062561035156,5594720.0
2011-03-17,372.3374938964844,0.9643,0.016,0.804,0.18,373.0125122070313,374.875,371.375,8321376.0
2011-03-18,367.6375122070313,-0.5267,0.076,0.862,0.062,372.5187377929688,374.3500061035156,366.5750122070313,7468000.0
2011-03-21,365.2875061035156,0.9349,0.0,0.895,0.105,368.9249877929688,369.625,363.0437622070313,6607096.0
2011-03-22,367.8812561035156,0.6505,0.072,0.802,0.127,366.8937377929688,369.59375,365.5,5119744.0
2011-03-23,374.1687622070313,-0.0258,0.039,0.934,0.027,366.84375,374.8500061035156,365.875,7266720.0
2011-03-24,375.3500061035156,0.6467,0.0,0.938,0.062,374.1187438964844,376.5249938964844,372.34375,8189232.0
2011-03-25,395.3812561035156,0.9697,0.022,0.879,0.099,380.5,398.125,380.0062561035156,12662792.0
2011-03-28,392.4437561035156,0.9273,0.0,0.88,0.12,392.375,394.6937561035156,388.71875,12056632.0
2011-03-29,396.6687622070313,0.9493,0.013,0.849,0.139,391.5,398.5874938964844,391.1187438964844,9860592.0
2011-03-30,396.3624877929688,0.9636,0.027,0.803,0.17,396.5,400.4375,394.5812377929688,5608128.0
2011-03-31,405.1625061035156,0.9735,0.071,0.719,0.21,397.75,408.125,395.4874877929688,18839928.0
2011-04-01,402.2687377929688,0.7184,0.026,0.893,0.081,404.3875122070313,407.03125,401.0,5588288.0
2011-04-04,410.3937377929688,0.3612,0.047,0.878,0.075,403.125,412.0,402.625,7375992.0
2011-04-05,410.40625,0.8478,0.0,0.836,0.164,409.6187438964844,411.625,403.8875122070313,4302536.0
2011-04-06,409.3937377929688,0.9571,0.0,0.767,0.233,409.875,412.375,406.5062561035156,6766920.0
2011-04-07,405.7374877929688,0.4215,0.0,0.965,0.035,407.7374877929688,407.7374877929688,404.7124938964844,3800288.0
2011-04-08,403.4125061035156,0.8774,0.06,0.755,0.185,405.25,408.0812377929688,400.9312438964844,4832928.0
