id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384075901168603138,1384075901168603138,1618824384000.0,2021-04-19 14:56:24,+0530,,सिप्ला कंपनी की ओर से ज़रूरतमंद मरीजों को रेमडिसिविर इंजेक्शन बिना किसी डीलर/ वितरक के सीधा अस्पताल तक पहुंचाने की अनूठी पहल।   Cipla : 8657311088 Hetero: 18001034696; whatsapp : 9320985814 Mr Vinayagam – 99943 99990 Mr Dipendra – 75079 46363 Mr Apoorv – 96626 12576,hi,[],[],3307100833,3307100833,devendrayadvinc,Devender Yadav,1,14,https://twitter.com/devendrayadvinc/status/1384075901168603138,[],[],0,,False,19,0,6,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1384056856432185345,1384056856432185345,1618819843000.0,2021-04-19 13:40:43,+0530,,"#StocksInNews | @Cipla_Global hits all-time high, gains over 16% MTD    #StocksToWatch #MarketsWithETNOW #pharma  https://t.co/VrGUm2gJ5M",en,"['stocksinnews', 'stockstowatch', 'marketswithetnow', 'pharma']",[],225012752,225012752,ETNOWlive,ET NOW,1,13,https://twitter.com/ETNOWlive/status/1384056856432185345,[],['https://pbs.twimg.com/media/EzUoPRbVEAEHZVT.jpg'],1,https://pbs.twimg.com/media/EzUoPRbVEAEHZVT.jpg,False,5,0,1,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1384048093503447041,1384048093503447041,1618817754000.0,2021-04-19 13:05:54,+0530,,"Nifty Pharma Index edges higher despite fragile markets; DR Reddy's, Cipla lift the performance  https://t.co/qr2P0nM1zh #nifty #niftypharma #StockMarket #StocksToBuy #stocks #drreddy #cipla #sensex #nse #bse",en,"['nifty', 'niftypharma', 'stockmarket', 'stockstobuy', 'stocks', 'drreddy', 'cipla', 'sensex', 'nse', 'bse']",[],125593434,125593434,IIFLMarkets,IIFLMarkets,1,13,https://twitter.com/IIFLMarkets/status/1384048093503447041,['https://www.indiainfoline.com/article/news-top-story/nifty-pharma-index-edges-higher-despite-fragile-markets-dr-reddy-s-cipla-lift-the-performance-121041900051_1.html'],[],0,,False,0,0,0,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1384044625262829573,1384026044336721921,1618816927000.0,2021-04-19 12:52:07,+0530,,@vinitsingh1928 @yaserjilani @CMOfficeUP @Cipla_Global @dm_ghaziabad @Gen_VKSingh Can you please share the contact details of the Patient.,en,[],[],117110269,117110269,rohit_chahal,ROHIT CHAHAL,1,12,https://twitter.com/rohit_chahal/status/1384044625262829573,[],[],0,,False,0,1,1,,"""Cipla"" OR ""cipla""",,,,,,,"[{'screen_name': 'vinitsingh1928', 'name': 'Vinitendra Singh', 'id': '2439749660'}, {'screen_name': 'yaserjilani', 'name': 'Yaser Jilani', 'id': '1540540308'}, {'screen_name': 'CMOfficeUP', 'name': 'CM Office, GoUP', 'id': '2587240482'}, {'screen_name': 'Cipla_Global', 'name': 'Cipla', 'id': '707860258132103168'}, {'screen_name': 'dm_ghaziabad', 'name': 'DM Ghaziabad', 'id': '760158046177923072'}, {'screen_name': 'Gen_VKSingh', 'name': 'Vijay Kumar Singh', 'id': '1856414335'}]",,,,
1384014781460357121,1384014781460357121,1618809812000.0,2021-04-19 10:53:32,+0530,,"Sharekhan Research brings #market calls that you can ACT on, daily!   Listen to today’s 3R Research ACTIONABLE UPDATES:  https://t.co/spRywcyxcM   Today, we cover: #HDFCBANK #Cipla   Don’t forget to subscribe!   #Sensex #Nifty #StockMarket #SharekhanKar  https://t.co/hKBC204ylp",en,"['market', 'hdfcbank', 'cipla', 'sensex', 'nifty', 'stockmarket', 'sharekhankar']",[],111270224,111270224,Sharekhan,Sharekhan,1,10,https://twitter.com/Sharekhan/status/1384014781460357121,['https://bit.ly/3gmAS5p'],['https://pbs.twimg.com/media/EzUCFLWVUAAvDnP.jpg'],1,https://pbs.twimg.com/media/EzUCFLWVUAAvDnP.jpg,False,7,0,5,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1384003832883998722,1384000890701373444,1618807201000.0,2021-04-19 10:10:01,+0530,,@SagrikaKissu Have sent some information to Vikram. Hope something clicks. Still checking. Best option is cipla helpline.,en,[],[],268744122,268744122,siddharthagigoo,Siddhartha Gigoo,1,10,https://twitter.com/siddharthagigoo/status/1384003832883998722,[],[],0,,False,1,1,0,,"""Cipla"" OR ""cipla""",,,,,,,"[{'screen_name': 'SagrikaKissu', 'name': 'Sagrika Kissu', 'id': '754957491180494848'}]",,,,
1383990049801310210,1383990049801310210,1618803915000.0,2021-04-19 09:15:15,+0530,,#CIPLA marks 52-week high. #BULLISH  https://t.co/dyxjo3Hexw  https://t.co/B8FCD8e7Sd,en,"['cipla', 'bullish']",[],438638734,438638734,CapitalTrends,Capital Trends,1,09,https://twitter.com/CapitalTrends/status/1383990049801310210,['http://capitaltrends.in/NCPatternRecognition.php?pattern=52WH&date=2021-04-16'],['https://pbs.twimg.com/media/EzTrnA9VoAQcCCe.png'],1,https://pbs.twimg.com/media/EzTrnA9VoAQcCCe.png,False,0,0,0,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1383982866837557262,1383982866837557262,1618802203000.0,2021-04-19 08:46:43,+0530,,"#SharekhanFNA #SharekhanResearch retains buy on #Cipla (PT Rs 1100); Promising growth outlook of high single digit to low double digit for IPM for FY2022 to drive India bizz, Ramp up in gAlbuterol strong product pipeline in respiratory &amp; complex generics to fuel US sales growth",en,"['sharekhanfna', 'sharekhanresearch', 'cipla']",[],111270224,111270224,Sharekhan,Sharekhan,1,08,https://twitter.com/Sharekhan/status/1383982866837557262,[],[],0,,False,4,0,2,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1383926851706363906,1383926851706363906,1618788848000.0,2021-04-19 05:04:08,+0530,,"This man @actormanojjoshi needs Remidisivir injection badly.   Remember Moron, The owner of the Company CIPLA, that manufactures the life saving medicine #REMDESIVIR is Yusuf Hameed.  https://t.co/NQu4Y72ZK8",en,['remdesivir'],[],703132985017544704,703132985017544704,NasirKhuehami,Nasir Khuehami (ناصر کہویہامی),1,05,https://twitter.com/NasirKhuehami/status/1383926851706363906,[],"['https://pbs.twimg.com/media/EzSyHcaVkAcuDsE.jpg', 'https://pbs.twimg.com/media/EzSyISwVkAU2Jsc.jpg']",1,https://pbs.twimg.com/media/EzSyHcaVkAcuDsE.jpg,False,24,0,5,https://twitter.com/actormanojjoshi/status/1383666123250364422,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
1383856987520192514,1383856987520192514,1618772191000.0,2021-04-19 00:26:31,+0530,,"रेमेडिसिवर कंपनियों ने जारी किए नंबर,सीधे आर्डर करें @ via- Social media   Cipla-8657311088, Hetero-040-40473535, Jubiliant-9819857718, Mylan-7829980066",und,[],[],1307012286,1307012286,ameeque_Jamei,Ameeque Jamei अमीक़ जामेई,1,00,https://twitter.com/ameeque_Jamei/status/1383856987520192514,[],[],0,,False,47,4,21,,"""Cipla"" OR ""cipla""",,,,,,,[],,,,
