NAME,SYMBOL,Shortforms
Adani Ports,ADANIPORTS.NS,"Adani,Adani Groups,APSEZ"
Asian Paints,ASIANPAINT.NS,Asianpaints
Axis Bank,AXISBANK.NS,"Axis,Axis bank limited"
Bajaj Auto,BAJAJ-AUTO.NS,"Bajaj,bajaj auto limited,bajaj group"
Bajaj Finance,BAJFINANCE.NS,"Bajaj,bajaj group,bajaj finserv,bajfinance"
Bajaj Finserv,BAJAJFINSV.NS,"Bajaj,bajaj group,bajaj finserv,bajfinance,bajaj financial services"
Bharti Airtel,BHARTIARTL.NS,"Airtel,Vodafone,airtel india"
Bharat Petroleum,BPCL.NS,"Petroleum,bpcl,petrol"
Britannia Industries,BRITANNIA.NS,Britannia
Cipla,CIPLA.NS,cipla
Coal India,COALINDIA.NS,"CIL,coalindia"
Divi's Laboratories,DIVISLAB.NS,"Divis,divislab"
Dr. Reddy's Laboratories,DRREDDY.NS,"Dr Reddy,drreddy"
Eicher Motors,EICHERMOT.NS,Eicher
GAIL,GAIL.NS,"Gas authority of india,gail india"
Grasim Industries,GRASIM.NS,Grasim
HCL Technologies,HCLTECH.NS,"hcl,hcl tech,hcl group"
HDFC,HDFC.NS,hdfc
HDFC Bank,HDFCBANK.NS,HDFC
HDFC Life,HDFCLIFE.NS,"HDFC,hdfc lic"
Hero MotoCorp,HEROMOTOCO.NS,"Hero,hero motorcorp limited"
Hindalco Industries,HINDALCO.NS,Hindalco
Hindustan Unilever,HINDUNILVR.NS,"hindunilvr,hul"
ICICI Bank,ICICIBANK.NS,ICICI
IndusInd Bank,INDUSINDBK.NS,IndusInd
Infosys,INFY.NS,infosys limited
Indian Oil Corporation,IOC.NS,"IOC,IOCL"
ITC Limited,ITC.NS,ITC
JSW Steel,JSWSTEEL.NS,JSW
Kotak Mahindra Bank,KOTAKBANK.NS,"Kotak,Kotak mahindra,kotak bank,uday kotak"
Larsen & Toubro,LT.NS,"L&T,larsen,toubro"
Mahindra & Mahindra,M&M.NS,"M&M,Mahindra, Mahindra group"
Maruti Suzuki,MARUTI.NS,"Maruti,Suzuki,Maruti Suzuki India limited"
Nestlé India,NESTLEIND.NS,"Nestle,Nestle India"
NTPC,NTPC.NS,Nationa Thermal Power Corporation
Oil and Natural Gas Corporation,ONGC.NS,"ONGC,ongc india,ongc"
Power Grid Corporation of India,POWERGRID.NS,"pgci,powergrid,powergrid india"
Reliance Industries,RELIANCE.NS,"reliance,ambani,jio,ril"
State Bank of India,SBIN.NS,"sbi,sbi bank"
SBI Life Insurance Company,SBILIFE.NS,"sbi,sbi lic"
Shree Cements,SHREECEM.NS,ShreeCements
Sun Pharmaceutical,SUNPHARMA.NS,sun pharma
Tata Motors,TATAMOTORS.NS,"tata,tata group,TELCO,ratan tata,tatamotors"
Tata Steel,TATASTEEL.NS,"tata,tata group,ratan tata"
Tata Consultancy Services,TCS.NS,"tcs,tcs india"
Tech Mahindra,TECHM.NS,"mahindra,anand mahindra,mahindra group"
Titan Company,TITAN.NS,"titan,titan company limited"
UltraTech Cement,ULTRACEMCO.NS,ultratech
United Phosphorus Limited,UPL.NS,"upl,upl limited"
Wipro,WIPRO.NS,"wipro limited,azim premji"
Aarti Drugs Limited,AARTIDRUGS.NS,Aarti
Aarti,AARTIIND.NS,aarti
Ashapura Minechem Limited,ASHAPURMIN.NS,"Ashapura, Ashapura Mines, Ashapura mine, Ashapura mines limited"
