,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2021-01-01,596.25,0.5574,0.0,0.526,0.474,592.5,599.75,585.8499755859375,8229768.0
2021-01-04,604.4000244140625,0.0772,0.072,0.853,0.076,600.0,609.4500122070312,595.2000122070312,11329298.0
2021-01-05,603.4500122070312,0.5106,0.021,0.938,0.041,608.4500122070312,608.7000122070312,600.0,7790158.0
2021-01-06,605.2999877929688,0.4404,0.0,0.672,0.328,604.0999755859375,610.9500122070312,596.1500244140625,6422080.0
2021-01-08,620.7999877929688,0.8885,0.0,0.873,0.127,607.0,622.7999877929688,604.0,11451416.0
2021-01-11,621.0,0.0,0.0,1.0,0.0,623.7000122070312,628.0,614.0499877929688,7516087.0
2021-01-12,609.6500244140625,0.6369,0.048,0.855,0.097,621.0,623.9000244140625,607.0499877929688,6747035.0
2021-01-13,602.2999877929688,0.1531,0.0,0.948,0.052,611.0,614.5,597.25,6186661.0
2021-01-15,604.2999877929688,0.5106,0.0,0.924,0.076,609.0,616.7999877929688,598.0999755859375,8389544.0
2021-01-18,581.4500122070312,-0.2023,0.127,0.766,0.108,604.0999755859375,607.3499755859375,578.4500122070312,7414570.0
2021-01-19,596.5499877929688,0.0258,0.05,0.884,0.066,586.9000244140625,603.0,583.3499755859375,5500391.0
2021-01-20,594.7000122070312,0.9153,0.0,0.764,0.236,601.2000122070312,603.5999755859375,592.9500122070312,5182972.0
2021-01-21,582.9000244140625,0.0516,0.05,0.897,0.053,598.0,598.75,580.6500244140625,4546393.0
2021-01-25,586.4000244140625,0.0,0.0,1.0,0.0,577.0999755859375,594.0,567.0,8149590.0
2021-01-27,569.7999877929688,0.0,0.0,1.0,0.0,585.9000244140625,585.9000244140625,563.75,8534047.0
2021-01-28,564.3499755859375,0.2247,0.064,0.864,0.071,554.9000244140625,574.5,550.4000244140625,9863454.0
2021-01-29,586.2000122070312,0.9764,0.033,0.841,0.126,568.0,600.0,554.0999755859375,22539938.0
2021-02-01,590.1500244140625,0.8271,0.023,0.876,0.101,596.0,599.4000244140625,579.5999755859375,12621971.0
2021-02-02,609.4500122070312,0.6841,0.0,0.841,0.159,596.9500122070312,616.9000244140625,591.5,15788247.0
2021-02-03,629.2000122070312,0.7964,0.0,0.835,0.165,612.5,648.4000244140625,610.5,23788455.0
2021-02-08,634.6500244140625,0.3595,0.03,0.911,0.058,640.9000244140625,644.8499755859375,632.5499877929688,6479801.0
2021-02-09,623.5999755859375,0.6249,0.0,0.805,0.195,631.9000244140625,639.25,621.0,5794015.0
2021-02-10,627.0999755859375,0.1027,0.143,0.699,0.157,623.0499877929688,631.5499877929688,614.0999755859375,6902162.0
2021-02-11,643.6500244140625,-0.9856,0.119,0.823,0.058,622.0,648.75,622.0,11433578.0
2021-02-12,627.1500244140625,0.9226,0.052,0.871,0.077,654.4000244140625,654.4000244140625,622.3499755859375,15471776.0
2021-02-18,616.0499877929688,0.7096,0.04,0.824,0.136,622.0,627.25,614.0999755859375,5633766.0
2021-02-19,607.2999877929688,-0.2263,0.151,0.735,0.114,615.9000244140625,622.2999877929688,601.2000122070312,7301975.0
2021-02-23,604.0499877929688,0.9509,0.036,0.862,0.103,595.0,608.3499755859375,592.0,7564187.0
2021-02-24,601.4500122070312,0.25,0.134,0.692,0.174,607.0999755859375,609.3499755859375,595.8499755859375,3296243.0
2021-02-25,609.5499877929688,0.7845,0.0,0.774,0.226,606.4000244140625,618.9000244140625,602.7000122070312,6261754.0
2021-03-02,614.2000122070312,0.91,0.0,0.854,0.146,609.0,616.3499755859375,604.5,4776776.0
2021-03-03,624.3499755859375,0.6249,0.0,0.779,0.221,616.5,625.4000244140625,612.25,6626297.0
2021-03-04,618.9500122070312,-0.651,0.12,0.88,0.0,622.0,636.75,616.0,11530735.0
2021-03-05,611.2000122070312,0.0,0.0,1.0,0.0,619.4500122070312,619.4500122070312,606.9000244140625,6127488.0
2021-03-08,614.7999877929688,0.9582,0.073,0.793,0.134,611.5,621.9000244140625,611.2999877929688,4554461.0
2021-03-09,612.5999755859375,0.9977,0.08,0.8,0.121,618.0,620.9000244140625,607.5,4035628.0
2021-03-10,626.0,-0.924,0.058,0.878,0.064,618.0,627.9000244140625,615.3499755859375,5825924.0
2021-03-12,613.5999755859375,-0.4767,0.154,0.759,0.087,628.0,629.1500244140625,611.5,4264170.0
